Sum of suicides_no,Column Labels,,,,,,
Row Labels,15-24 years,25-34 years,35-54 years,5-14 years,55-74 years,75+ years,Grand Total
2004,28702,38221,92531,1839,57103,22465,240861
2005,27624,37442,88498,1774,56581,22456,234375
2006,27937,37221,87032,1755,56613,22803,233361
2007,27670,37936,85749,1671,56857,23525,233408
2008,28145,37756,86664,1640,57687,23555,235447
2009,28487,39389,90390,1835,59902,23484,243487
2010,27684,38317,87364,1760,59743,23834,238702
2011,27937,37936,85345,1879,59178,24209,236484
2012,26280,36625,82482,1752,58443,24578,230160
2013,24249,35068,80227,1806,57696,24153,223199
2014,24028,35381,79132,1882,57696,24865,222984
2015,21841,32118,71298,1681,53588,23114,203640
Grand Total,320584,443410,1016712,21274,691087,283041,2776108